"","title","link","description"
"1","Unsafe ozone levels blight urban areas daily","https://www.ft.comNA","...Ozone pollution reached potentially harmful levels in two UK towns or cities every day in 2018 on average, according to data from Britain’s national weather service.
								
								An analysis by the FT of the..."
"2","Pollution results less impressive during second European lockdown ","https://www.ft.comNA","...Air pollution levels have remained relatively high despite the latest phase of coronavirus-linked restrictions imposed across many European capitals in recent weeks, according to data analysed by the..."
"3","New Delhi’s toxic air exacerbates coronavirus threat","https://www.ft.comNA","...Medical experts have warned that the toxic pollution that envelops New Delhi annually will lead to more coronavirus deaths.
								
								By 7am in mid-November, the air in New Delhi smells of acrid smoke and the..."
"4","The battle against indoor air pollution","https://www.ft.comNA","...ourselves from one illness, however, we may well be opening ourselves up to countless others within our own four walls.
								
								With pollution reaching often illegal levels in urban areas, according to the EU’s Air..."
"5","England’s water companies receive worst pollution ratings for 8 years","https://www.ft.comNA","...England’s privatised water monopolies have recorded their worst ratings for tackling pollution in eight years, according to the government’s environment regulator.
								
								In its annual analysis of water..."
"6","Letter: Pharmaceutical pollution threatens global health","https://www.ft.comNA","...pandemics — it might contribute to the next health crisis, as pharmaceutical pollution is one of the key drivers of anti-microbial resistance. Every year, nearly one million people worldwide die from..."
"7","BHP aims to boost green credentials with LNG-powered ships","https://www.ft.comNA","...wider trend as the shipping sector attempts to meet new pollution targets that seek to reduce emissions of sulphur and nitrogen oxides.
								
								The ships are supplied by the Israeli billionaire Idan Ofer’s..."
"8","All stores to charge 10p for plastic bags in push to end waste","https://www.ft.comNA","Government has vowed to eliminate avoidable plastic pollution by the end of 2042"
"9","UK government faces legal challenge on clean-air targets","https://www.ft.comNA","...The UK government faced a legal challenge on Monday to force a rethink of its air quality targets in light of emerging evidence about a link between pollution and Covid-19 mortality rates.
								
								The legal..."
"10","Regulator backs UK water companies over price cuts rebellion","https://www.ft.comNA","...cuts to bills would prevent them from investing enough in England’s stressed water infrastructure to address pollution and leakage failures.
								
								It is the biggest rebellion by water companies against their..."
"11","BHP/environment: coal hole","https://www.ft.comNA","...corporate valuations. Peer Yancoal Australia was valued at an average of two times its trailing ebitda in 2019; the shares now trade a quarter lower.
								
								The pollution problem will not end with thermal..."
"12","How plastic waste reclaimed from the ocean is transformed into furniture","https://www.ft.comNA","...pollution eight years ago while the pair were students at London’s Royal College of Art.
								
								What started as a degree project morphed into a performance piece, filmed in 2012. The three-minute film shows..."
"13","Air pollution rebounds in Europe’s cities as lockdowns ease","https://www.ft.comNA","...Air pollution levels have rebounded sharply in a number of leading European cities since coronavirus restrictions eased, driven by an increase in traffic and congestion.
								
								Paris, Brussels and Milan have..."
"14","Permian gas pollution halves in upside of oil crash","https://www.ft.comNA","...Natural gas pollution at the world's most prolific oilfield will halve in the coming months, providing an environmental upside to the worst crash in the price of crude in decades.
								
								As tumbling demand..."
"15","Coronavirus/pollution: clean air fact Premium","https://www.ft.comNA","...happens when you put the brakes on the world’s second-largest economy. Pollution has diminished by about 30 per cent this year so far, according to FT data.
								
								As the contagion works its way round the world, so..."
"16","How coronavirus will change commuting - and air pollution","https://www.ft.comNA","...emissions and curb air pollution...."
"17","UK pension scheme pledges £5.5bn for green strategies","https://www.ft.comNA","...pollution emissions across its investments in half by 2030, with a goal of achieving a net-zero carbon position by 2050 or earlier. It will shift £5.5bn of shares into climate aware strategies..."
"18","The Plastic Nile — Sky documentary exposes the extent of Africa’s waste problem","https://www.ft.comNA","...nappies and bottles that they bring up from the tea-brown waters. Given that Victoria is Africa’s largest lake, it’s disheartening to see the extent of the pollution. Dwindling catches are a looming..."
