"","link","Brand","Model","year","Engine","body_type","Wheelbase","fuel_supply","valves_in_cylinders","Fuel","eco_standart","ABS","front_brakes","rear_brakes","length","width","height","weight","max_width","boot_capacity","engine_kw","engine_hp","torque","cylinders_diameter","fuel_capacity","max_speed","acceleration","fuel_town","fuel_road","fuel_avg","doors","seats","cylinders","gears","tires","wheels"
"1","https://www.car-info.com/en/model/porsche/911/911-vii-991-targa-facelift/4-3-0-at-370-hp-4wd","Porsche","911 VII (991) Targa Facelift","2015  ",2981,"Targa",2450,"Injection ","4","A-98",NA,NA,NA,NA,4499,1852,1288,1288,2000,125,271,363,271,NA,68,287,4.5,NA,NA,NA,"2","2","6","7",NA,NA
"2","https://www.car-info.com/en/model/porsche/911/911-vii-991-targa-facelift/4s-3-0-at-420-hp-4wd","Porsche","911 VII (991) Targa Facelift","2015  ",2981,"Targa",2450,"Injection ","4","A-98",NA,NA,NA,NA,4499,1852,1288,1288,2025,125,308,413,308,NA,68,301,4.2,NA,NA,8100,"2","2","6","7",NA,NA
"3","https://www.car-info.com/en/model/porsche/911/911-vii-991-targa-facelift/4-3-0-mt-370-hp-4wd","Porsche","911 VII (991) Targa Facelift","2015  ",2981,"Targa",2450,"Injection ","4","A-98",NA,NA,NA,NA,4499,1852,1288,1288,2000,125,271,363,271,NA,68,289,4.7,NA,NA,NA,"2","2","6","7",NA,NA
"4","https://www.car-info.com/en/model/porsche/911/911-vii-991-targa-facelift/4s-3-0-mt-420-hp-4wd","Porsche","911 VII (991) Targa Facelift","2015  ",2981,"Targa",2450,"Injection ","4","A-98",NA,NA,NA,NA,4499,1852,1288,1288,2025,125,308,413,308,NA,68,303,4.4,NA,NA,9100,"2","2","6","7",NA,NA
"5","https://www.car-info.com/en/model/porsche/911/911-vii-991-coupe-facelift/carrera-3-0-at-370-hp","Porsche","911 VII (991) Coupe Facelift","2015  ",2981,"Coupe",2450,"Injection ","4","A-98","Euro 6",NA,NA,NA,4499,1808,1302,1302,1890,145,271,363,271,NA,64,293,4.4,NA,6100,NA,"2","4","6","7","235/40/R19","8,5"
"6","https://www.car-info.com/en/model/porsche/911/911-vii-991-coupe-facelift/carrera-4s-3-0-at-420-hp-4wd","Porsche","911 VII (991) Coupe Facelift","2015  ",2981,"Coupe",2450,"Injection ","4","A-98","Euro 6",NA,NA,NA,4499,1808,1302,1302,1965,145,308,413,308,NA,64,303,4,NA,NA,NA,"2","4","6","7","245/35/R20","8,5"
"7","https://www.car-info.com/en/model/porsche/911/911-vii-991-coupe-facelift/carrera-s-3-0-at-420-hp","Porsche","911 VII (991) Coupe Facelift","2015  ",2981,"Coupe",2450,"Injection ","4","A-98","Euro 6",NA,NA,NA,4499,1808,1302,1302,1915,145,308,413,308,NA,64,306,4.1,NA,NA,NA,"2","4","6","7","245/35/R20","8,5"
"8","https://www.car-info.com/en/model/porsche/911/911-vii-991-coupe-facelift/carrera-3-0-mt-370-hp","Porsche","911 VII (991) Coupe Facelift","2015  ",2981,"Coupe",2450,"Injection ","4","A-98","Euro 6",NA,NA,NA,4499,1808,1302,1302,1875,145,271,363,271,NA,64,295,4.6,NA,NA,NA,"2","4","6","7","235/40/R19","8,5"
"9","https://www.car-info.com/en/model/porsche/911/911-vii-991-coupe-facelift/carrera-4s-3-0-mt-420-hp-4wd","Porsche","911 VII (991) Coupe Facelift","2015  ",2981,"Coupe",2450,"Injection ","4","A-98","Euro 6",NA,NA,NA,4499,1808,1302,1302,1950,145,308,413,308,NA,64,305,4.2,NA,NA,NA,"2","4","6","7","245/35/R20","8,5"
"10","https://www.car-info.com/en/model/porsche/911/911-vii-991-coupe-facelift/carrera-s-3-0-mt-420-hp","Porsche","911 VII (991) Coupe Facelift","2015  ",2981,"Coupe",2450,"Injection ","4","A-98","Euro 6",NA,NA,NA,4499,1808,1302,1302,1900,145,308,413,308,NA,64,308,4.3,NA,NA,NA,"2","4","6","7","245/35/R20","8,5"
"11","https://www.car-info.com/en/model/porsche/911/911-vii-991-coupe-facelift/turbo-3-8-at-540-hp-4wd","Porsche","911 VII (991) Coupe Facelift","2015  ",3800,"Coupe",2450,"Injection ","4","A-98","Euro 6",NA,NA,NA,4499,1808,1302,1302,2010,145,396,531,396,NA,64,320,3,NA,NA,NA,"2","4","6","7","245/35/R20","8,5"
"12","https://www.car-info.com/en/model/porsche/911/911-vii-991-coupe-facelift/turbo-s-3-8-at-580-hp-4wd","Porsche","911 VII (991) Coupe Facelift","2015  ",3800,"Coupe",2450,"Injection ","4","A-98","Euro 6",NA,NA,NA,4499,1808,1302,1302,1990,145,425,570,425,NA,64,330,2.9,NA,NA,NA,"2","4","6","7","245/35/R20","8,5"
"13","https://www.car-info.com/en/model/porsche/911/911-vii-991-cabrio-facelift/carrera-3-0-at-370-hp-1","Porsche","911 VII (991) Cabrio Facelift","2015  ",2981,"Cabrio",2450,"Injection ","4","A-98","Euro 6",NA,NA,NA,4499,1808,1297,1297,1940,145,271,363,271,NA,64,290,4.6,NA,NA,NA,"2","4","6","7","235/40/R19","8,5"
"14","https://www.car-info.com/en/model/porsche/911/911-vii-991-cabrio-facelift/carrera-4s-3-0-at-420-hp-4wd-1","Porsche","911 VII (991) Cabrio Facelift","2015  ",2981,"Cabrio",2450,"Injection ","4","A-98","Euro 6",NA,NA,NA,4499,1808,1297,1297,2015,145,308,413,308,NA,64,301,4.2,NA,NA,8100,"2","4","6","7","245/35/R20","8,5"
"15","https://www.car-info.com/en/model/porsche/911/911-vii-991-cabrio-facelift/carrera-s-3-0-at-420-hp-1","Porsche","911 VII (991) Cabrio Facelift","2015  ",2981,"Cabrio",2450,"Injection ","4","A-98","Euro 6",NA,NA,NA,4499,1808,1297,1297,1965,145,308,413,308,NA,64,304,4.3,NA,NA,NA,"2","4","6","7","245/35/R20","8,5"
"16","https://www.car-info.com/en/model/porsche/911/911-vii-991-cabrio-facelift/carrera-3-0-mt-370-hp-1","Porsche","911 VII (991) Cabrio Facelift","2015  ",2981,"Cabrio",2450,"Injection ","4","A-98","Euro 6",NA,NA,NA,4499,1808,1297,1297,1925,145,271,363,271,NA,64,292,4.8,NA,NA,NA,"2","4","6","7","235/40/R19","8,5"
"17","https://www.car-info.com/en/model/porsche/911/911-vii-991-cabrio-facelift/carrera-4s-3-0-mt-420-hp-4wd-1","Porsche","911 VII (991) Cabrio Facelift","2015  ",2981,"Cabrio",2450,"Injection ","4","A-98","Euro 6",NA,NA,NA,4499,1808,1297,1297,2000,145,308,413,308,NA,64,303,4.4,NA,NA,9100,"2","4","6","7","245/35/R20","8,5"
"18","https://www.car-info.com/en/model/porsche/911/911-vii-991-cabrio-facelift/carrera-s-3-0-mt-420-hp-1","Porsche","911 VII (991) Cabrio Facelift","2015  ",2981,"Cabrio",2450,"Injection ","4","A-98","Euro 6",NA,NA,NA,4499,1808,1297,1297,1950,145,308,413,308,NA,64,306,4.5,NA,NA,NA,"2","4","6","7","245/35/R20","8,5"
"19","https://www.car-info.com/en/model/porsche/911/911-vii-991-cabrio-facelift/turbo-3-8-at-540-hp-4wd-1","Porsche","911 VII (991) Cabrio Facelift","2015  ",3800,"Cabrio",2450,"Injection ","4","A-98","Euro 6",NA,NA,NA,4499,1808,1297,1297,2065,145,396,531,396,NA,64,320,3.1,NA,NA,NA,"2","4","6","7","245/35/R20","8,5"
"20","https://www.car-info.com/en/model/porsche/911/911-vii-991-cabrio-facelift/turbo-s-3-8-at-580-hp-4wd-1","Porsche","911 VII (991) Cabrio Facelift","2015  ",3800,"Cabrio",2450,"Injection ","4","A-98","Euro 6",NA,NA,NA,4499,1808,1297,1297,2045,145,425,570,425,NA,64,330,3,NA,NA,NA,"2","4","6","7","245/35/R20","8,5"
"21","https://www.car-info.com/en/model/porsche/911/911-turbo-997/911-turbo-997","Porsche","911 Turbo (997)","2007  ",3600,"Cabrio",2350,"Injection ","4","A-98",NA,"Yes",NA,NA,4450,1852,1300,1300,1950,NA,352,472,352,100,67,310,3.9,18.81,9.51,NA,"2","4","6","6",NA,NA
"22","https://www.car-info.com/en/model/porsche/911/911-targa-4s-997/3-8i-355hp","Porsche","911 Targa 4S (997)","2006  ",3824,"Coupe",2350,"Injection ",NA,"A-98",NA,"Yes",NA,NA,4427,1808,1310,1310,1810,NA,260,348,260,NA,64,285,5,NA,NA,11100,NA,NA,NA,NA,"235/40R18ZR",NA
"23","https://www.car-info.com/en/model/porsche/911/911-targa-4s-997/3-8i-385hp","Porsche","911 Targa 4S (997)","2008  ",3797,"Coupe",2350,"Injection ",NA,"A-98",NA,"Yes",NA,NA,4427,1808,1310,1310,1810,NA,319,427,319,NA,64,285,5,NA,NA,11100,NA,NA,NA,NA,"235/40R18ZR",NA
"24","https://www.car-info.com/en/model/porsche/911/911-targa-4-997/3-6i-325hp","Porsche","911 Targa 4 (997)","2006  ",3596,"Coupe",2350,"Injection ",NA,"A-95",NA,"Yes",NA,NA,4427,1808,1310,1310,1810,NA,238,319,238,96,64,285,5,NA,NA,11100,NA,NA,NA,NA,"235/40R18ZR",NA
"25","https://www.car-info.com/en/model/porsche/911/911-targa-4-997/3-6i-345hp","Porsche","911 Targa 4 (997)","2008  ",3614,"Coupe",2350,"Injection ",NA,"A-95",NA,"Yes",NA,NA,4427,1808,1310,1310,1810,NA,253,339,253,96,64,285,5,NA,NA,11100,NA,NA,NA,NA,"235/40R18ZR",NA
"26","https://www.car-info.com/en/model/porsche/911/911-targa-996/3-6-carrera-320-hp","Porsche","911 Targa (996)","2001  ",3596,"Cabrio",2350,"Injection ","4","A-95",NA,"Yes",NA,NA,4430,1770,1305,1305,1845,NA,235,315,235,96,64,285,5.2,16.11,8.11,NA,"2","2","6","6","205/50-255/40",NA
"27","https://www.car-info.com/en/model/porsche/911/911-targa-993/3-6-carrera-286-hp","Porsche","911 Targa (993)","1995  ",3600,"Cabrio",2275,"Injection ","2","A-95",NA,"Yes",NA,NA,4245,1735,1300,1300,1740,NA,209,280,209,100,74,275,5.4,NA,NA,11.21,"2","2","6","6","205/50-255/40",NA
"28","https://www.car-info.com/en/model/porsche/911/911-cabrio-997/911-carrera-cabriolet-325-hp","Porsche","911 Cabrio (997)","2006  ",3596,"Coupe",2350,"Injection ","4","A-95",NA,"Yes",NA,NA,4427,1808,1310,1310,1875,NA,238,319,238,96,64,285,5.2,16.41,8.11,NA,"2","4","6","6",NA,NA
"29","https://www.car-info.com/en/model/porsche/911/911-cabrio-997/911-carrera-s-cabriolet-355-hp","Porsche","911 Cabrio (997)","2006  ",3824,"Cabrio",2350,"Injection ","4","A-98",NA,"Yes",NA,NA,4427,1808,1310,1310,1885,NA,260,348,260,NA,64,293,4.9,17.31,8.41,NA,"2","4","6","6",NA,NA
"30","https://www.car-info.com/en/model/porsche/911/911-cabrio-997/911-turbo-cabriolet-480-hp","Porsche","911 Cabrio (997)","2007  ",3600,"Cabrio",2350,"Injection ","4","A-98",NA,"Yes",NA,NA,4427,1808,1310,1310,2000,NA,352,472,352,100,64,310,4,19.21,9.51,12.91,"2","4","6","6",NA,NA
"31","https://www.car-info.com/en/model/porsche/911/911-cabrio-996/3-4-carrera-300-hp","Porsche","911 Cabrio (996)","1998  ",3387,"Coupe",2350,"Injection ","4","A-95",NA,"Yes",NA,NA,4430,1765,1305,1305,1795,NA,220,295,220,96,64,280,5.4,17.21,8.51,NA,"2","2","6","6","205/50-255/40",NA
