"","link","Brand","Model","Year","Engine","Body type","Doors","Seats","Length","Width","Height","Wheelbase","Weight","Max width","Boot capacity","Engine kw","Engine hp","Torque","Fuel supply","Cylinders","Cylinders diameter","Valves in cylinders","Gears","Fuel","Fuel capacity","Eco standart","ABS","Front brakes","Rear brakes","Tires","Wheels","Max speed","Acceleration","Fuel town","Fuel road","Fuel average"
"1","https://www.car-info.com/en/model/porsche/911/911-vii-991-targa-facelift/4-3-0-at-370-hp-4wd","Porsche","911 VII (991) Targa Facelift","2015  - ","2981","Targa","2","2","4499 mm","1852 mm","1288 mm","2450","1288 kg","2000 kg","125 l","271 kw","363 hp","271 N*m/rpm","Injection ","6","-","4","7","A-98","68 liters","-","-","-","-","-","-","287 km/h","4.5 s","-","-","-"
"2","https://www.car-info.com/en/model/porsche/911/911-vii-991-targa-facelift/4s-3-0-at-420-hp-4wd","Porsche","911 VII (991) Targa Facelift","2015  - ","2981","Targa","2","2","4499 mm","1852 mm","1288 mm","2450","1288 kg","2025 kg","125 l","308 kw","413 hp","308 N*m/rpm","Injection ","6","-","4","7","A-98","68 liters","-","-","-","-","-","-","301 km/h","4.2 s","-","-","8 l/100km"
"3","https://www.car-info.com/en/model/porsche/911/911-vii-991-targa-facelift/4-3-0-mt-370-hp-4wd","Porsche","911 VII (991) Targa Facelift","2015  - ","2981","Targa","2","2","4499 mm","1852 mm","1288 mm","2450","1288 kg","2000 kg","125 l","271 kw","363 hp","271 N*m/rpm","Injection ","6","-","4","7","A-98","68 liters","-","-","-","-","-","-","289 km/h","4.7 s","-","-","-"
"4","https://www.car-info.com/en/model/porsche/911/911-vii-991-targa-facelift/4s-3-0-mt-420-hp-4wd","Porsche","911 VII (991) Targa Facelift","2015  - ","2981","Targa","2","2","4499 mm","1852 mm","1288 mm","2450","1288 kg","2025 kg","125 l","308 kw","413 hp","308 N*m/rpm","Injection ","6","-","4","7","A-98","68 liters","-","-","-","-","-","-","303 km/h","4.4 s","-","-","9 l/100km"
"5","https://www.car-info.com/en/model/porsche/911/911-vii-991-coupe-facelift/carrera-3-0-at-370-hp","Porsche","911 VII (991) Coupe Facelift","2015  - ","2981","Coupe","2","4","4499 mm","1808 mm","1302 mm","2450","1302 kg","1890 kg","145 l","271 kw","363 hp","271 N*m/rpm","Injection ","6","-","4","7","A-98","64 liters","Euro 6","-","-","-","235/40/R19, 295/35/R19","8,5 J x 19, 11,5 J x 19","293 km/h","4.4 s","-","6 l/100km","-"
"6","https://www.car-info.com/en/model/porsche/911/911-vii-991-coupe-facelift/carrera-4s-3-0-at-420-hp-4wd","Porsche","911 VII (991) Coupe Facelift","2015  - ","2981","Coupe","2","4","4499 mm","1808 mm","1302 mm","2450","1302 kg","1965 kg","145 l","308 kw","413 hp","308 N*m/rpm","Injection ","6","-","4","7","A-98","64 liters","Euro 6","-","-","-","245/35/R20, 305/30/R20","8,5 J x 20, 11,5 J x 20","303 km/h","4 s","-","-","-"
"7","https://www.car-info.com/en/model/porsche/911/911-vii-991-coupe-facelift/carrera-s-3-0-at-420-hp","Porsche","911 VII (991) Coupe Facelift","2015  - ","2981","Coupe","2","4","4499 mm","1808 mm","1302 mm","2450","1302 kg","1915 kg","145 l","308 kw","413 hp","308 N*m/rpm","Injection ","6","-","4","7","A-98","64 liters","Euro 6","-","-","-","245/35/R20, 305/30/R20","8,5 J x 20, 11,5 J x 20","306 km/h","4.1 s","-","-","-"
"8","https://www.car-info.com/en/model/porsche/911/911-vii-991-coupe-facelift/carrera-3-0-mt-370-hp","Porsche","911 VII (991) Coupe Facelift","2015  - ","2981","Coupe","2","4","4499 mm","1808 mm","1302 mm","2450","1302 kg","1875 kg","145 l","271 kw","363 hp","271 N*m/rpm","Injection ","6","-","4","7","A-98","64 liters","Euro 6","-","-","-","235/40/R19, 295/35/R19","8,5 J x 19, 11,5 J x 19","295 km/h","4.6 s","-","-","-"
"9","https://www.car-info.com/en/model/porsche/911/911-vii-991-coupe-facelift/carrera-4s-3-0-mt-420-hp-4wd","Porsche","911 VII (991) Coupe Facelift","2015  - ","2981","Coupe","2","4","4499 mm","1808 mm","1302 mm","2450","1302 kg","1950 kg","145 l","308 kw","413 hp","308 N*m/rpm","Injection ","6","-","4","7","A-98","64 liters","Euro 6","-","-","-","245/35/R20, 305/30/R20","8,5 J x 20, 11,5 J x 20","305 km/h","4.2 s","-","-","-"
"10","https://www.car-info.com/en/model/porsche/911/911-vii-991-coupe-facelift/carrera-s-3-0-mt-420-hp","Porsche","911 VII (991) Coupe Facelift","2015  - ","2981","Coupe","2","4","4499 mm","1808 mm","1302 mm","2450","1302 kg","1900 kg","145 l","308 kw","413 hp","308 N*m/rpm","Injection ","6","-","4","7","A-98","64 liters","Euro 6","-","-","-","245/35/R20, 305/30/R20","8,5 J x 20, 11,5 J x 20","308 km/h","4.3 s","-","-","-"
"11","https://www.car-info.com/en/model/porsche/911/911-vii-991-coupe-facelift/turbo-3-8-at-540-hp-4wd","Porsche","911 VII (991) Coupe Facelift","2015  - ","3800","Coupe","2","4","4499 mm","1808 mm","1302 mm","2450","1302 kg","2010 kg","145 l","396 kw","531 hp","396 N*m/rpm","Injection ","6","-","4","7","A-98","64 liters","Euro 6","-","-","-","245/35/R20, 305/30/R20","8,5 J x 20, 11,5 J x 20","320 km/h","3 s","-","-","-"
